asset_id,plant_id,asset_type,vendor,model,firmware,ip_address,zone,protocol,registered_state,observed_state,criticality,owner,backup_age_days
OT-01098,PLT-10,PLC,ProcessSys,MDL-23,2.0.6,10.10.10.12,DMZ,PROFINET,ACTIVE,ONLINE,HIGH,OT Security,215
OT-01904,PLT-18,HISTORIAN,HistorianX,MDL-97,9.4.5,10.18.7.165,L0_FIELD,OPC_DA,ACTIVE,ONLINE,MEDIUM,OT Security,153
OT-01048,PLT-10,SAFETY_PLC,SensorTech,MDL-35,9.7.8,10.10.9.215,L2_SUPERVISORY,PROFIBUS,ACTIVE,ONLINE,CRITICAL,Unknown,264
OT-00840,PLT-08,PLC,SensorTech,MDL-20,6.2.4,10.8.19.81,L1_CONTROL,VendorSerial,ACTIVE,ONLINE,HIGH,Unknown,73
OT-00061,PLT-01,HMI,NetSwitchCo,MDL-41,2.5.4,10.1.14.203,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,HIGH,Unknown,215
OT-00408,PLT-04,HMI,ControlWorks,MDL-65,7.5.6,10.4.1.222,L0_FIELD,DNP3,ACTIVE,ONLINE,CRITICAL,Unknown,38
OT-00379,PLT-04,PLC,MotorDriveCo,MDL-79,3.6.0,10.4.4.203,L2_SUPERVISORY,VendorSerial,ACTIVE,ONLINE,HIGH,Operations,118
OT-01109,PLT-11,IED,RemoteAssist,MDL-39,7.2.1,10.11.18.30,DMZ,PROFINET,ACTIVE,ONLINE,HIGH,Vendor,390
OT-00847,PLT-08,DCS_CONTROLLER,FieldLink,MDL-89,9.5.2,10.8.9.212,DMZ,PROFINET,ACTIVE,ONLINE,HIGH,Unknown,308
OT-01449,PLT-14,VFD,ControlWorks,MDL-55,9.7.2,10.14.13.117,L2_SUPERVISORY,OPC_DA,ACTIVE,ONLINE,HIGH,OT Security,17
OT-01712,PLT-16,SENSOR,SensorTech,MDL-75,4.8.0,10.16.12.56,L1_CONTROL,OPC_UA,RETIRED,ONLINE,CRITICAL,Engineering,335
OT-01929,PLT-18,IED,MotorDriveCo,MDL-54,1.5.8,10.18.11.156,L0_FIELD,IEC61850,ACTIVE,ONLINE,LOW,Maintenance,278
OT-00924,PLT-09,OPC_SERVER,RemoteAssist,MDL-13,5.6.1,10.9.1.176,L1_CONTROL,IEC61850,ACTIVE,ONLINE,CRITICAL,Vendor,183
OT-01889,PLT-17,SAFETY_PLC,FieldLink,MDL-22,9.2.2,10.17.17.182,DMZ,EtherNetIP,ACTIVE,ONLINE,HIGH,Unknown,332
OT-00176,PLT-02,DCS_CONTROLLER,HistorianX,MDL-90,9.0.2,10.2.10.213,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,HIGH,Vendor,289
OT-00292,PLT-03,GATEWAY,SensorTech,MDL-29,7.1.5,10.3.10.127,L0_FIELD,PROFINET,ACTIVE,ONLINE,MEDIUM,Unknown,278
OT-00152,PLT-02,RTU,HistorianX,MDL-12,1.6.9,10.2.12.248,L1_CONTROL,OPC_DA,ACTIVE,ONLINE,MEDIUM,Unknown,414
OT-01241,PLT-12,VFD,ControlWorks,MDL-78,2.0.0,10.12.15.175,DMZ,OPC_DA,RETIRED,ONLINE,HIGH,Vendor,284
OT-00525,PLT-05,IED,SafeLogic,MDL-43,9.2.6,10.5.15.39,L3_SITE_OPS,DNP3,UNKNOWN,ONLINE,MEDIUM,Unknown,194
OT-00280,PLT-03,SENSOR,ProcessSys,MDL-72,5.5.1,10.3.11.210,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,CRITICAL,Unknown,321
OT-01621,PLT-15,GATEWAY,ProcessSys,MDL-98,7.8.3,10.15.5.155,DMZ,DNP3,ACTIVE,ONLINE,CRITICAL,Maintenance,124
OT-01977,PLT-18,SAFETY_PLC,NetSwitchCo,MDL-60,4.3.0,10.18.12.111,L3_SITE_OPS,OPC_UA,ACTIVE,ONLINE,MEDIUM,Maintenance,124
OT-01240,PLT-12,ENG_WORKSTATION,LegacyPLC,MDL-58,4.9.0,10.12.16.81,L2_SUPERVISORY,VendorSerial,RETIRED,ONLINE,HIGH,Vendor,34
OT-00070,PLT-01,VFD,FieldLink,MDL-21,5.6.3,10.1.19.69,DMZ,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Operations,226
OT-00987,PLT-10,PLC,LegacyPLC,MDL-93,1.0.6,10.10.7.12,L0_FIELD,ModbusTCP,ACTIVE,INTERMITTENT,MEDIUM,Vendor,304
OT-01138,PLT-11,NETWORK_SWITCH,RemoteAssist,MDL-10,4.7.4,10.11.3.59,L1_CONTROL,DNP3,ACTIVE,INTERMITTENT,HIGH,Maintenance,358
OT-01619,PLT-15,NETWORK_SWITCH,RemoteAssist,MDL-26,1.8.1,10.15.10.184,L0_FIELD,PROFINET,ACTIVE,UNSEEN,HIGH,Engineering,30
OT-01560,PLT-15,SAFETY_PLC,RemoteAssist,MDL-59,1.1.2,10.15.14.52,L2_SUPERVISORY,VendorSerial,ACTIVE,ONLINE,LOW,OT Security,271
OT-01108,PLT-11,NETWORK_SWITCH,SafeLogic,MDL-34,7.4.2,10.11.6.206,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,MEDIUM,Maintenance,141
OT-00670,PLT-07,IED,ControlWorks,MDL-83,9.3.4,10.7.5.88,L0_FIELD,OPC_DA,ACTIVE,INTERMITTENT,HIGH,Maintenance,334
OT-01841,PLT-17,SAFETY_PLC,ControlWorks,MDL-67,8.7.5,10.17.9.142,L1_CONTROL,DNP3,ACTIVE,ONLINE,HIGH,Unknown,148
OT-01624,PLT-15,DCS_CONTROLLER,MotorDriveCo,MDL-69,9.2.7,10.15.11.54,DMZ,IEC61850,ACTIVE,INTERMITTENT,LOW,Operations,411
OT-01662,PLT-15,OPC_SERVER,FieldLink,MDL-48,5.1.6,10.15.6.88,DMZ,ModbusTCP,ACTIVE,ONLINE,HIGH,Unknown,288
OT-01761,PLT-16,HMI,HistorianX,MDL-18,3.2.6,10.16.7.85,DMZ,OPC_DA,ACTIVE,ONLINE,HIGH,Engineering,346
OT-01858,PLT-17,OPC_SERVER,SensorTech,MDL-24,9.0.0,10.17.10.224,L3_SITE_OPS,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Engineering,127
OT-00057,PLT-01,PLC,NetSwitchCo,MDL-27,4.8.0,10.1.18.92,L2_SUPERVISORY,EtherNetIP,ACTIVE,ONLINE,LOW,Maintenance,72
OT-01581,PLT-15,ENG_WORKSTATION,FieldLink,MDL-89,1.6.6,10.15.14.39,DMZ,PROFIBUS,ACTIVE,ONLINE,CRITICAL,Vendor,229
OT-00448,PLT-05,OPC_SERVER,ProcessSys,MDL-61,8.1.5,10.5.6.228,L3_SITE_OPS,OPC_DA,ACTIVE,ONLINE,MEDIUM,Unknown,257
OT-00197,PLT-02,HMI,NetSwitchCo,MDL-36,4.0.5,10.2.19.40,L1_CONTROL,VendorSerial,ACTIVE,ONLINE,HIGH,Engineering,348
OT-00120,PLT-02,VFD,FieldLink,MDL-25,6.6.9,10.2.19.143,DMZ,IEC104,ACTIVE,ONLINE,MEDIUM,Unknown,266
OT-00923,PLT-09,PLC,HistorianX,MDL-91,5.3.4,10.9.4.53,DMZ,PROFINET,ACTIVE,UNSEEN,HIGH,Maintenance,188
OT-01682,PLT-16,HISTORIAN,FieldLink,MDL-23,5.1.1,10.16.10.123,L0_FIELD,PROFINET,ACTIVE,ONLINE,MEDIUM,OT Security,345
OT-00988,PLT-10,VFD,LegacyPLC,MDL-95,1.9.3,10.10.16.154,DMZ,OPC_UA,ACTIVE,ONLINE,MEDIUM,Vendor,204
OT-00964,PLT-09,GATEWAY,SafeLogic,MDL-86,9.1.4,10.9.14.205,L0_FIELD,VendorSerial,UNKNOWN,ONLINE,HIGH,Vendor,73
OT-01857,PLT-17,DCS_CONTROLLER,FieldLink,MDL-41,9.1.6,10.17.12.3,DMZ,IEC61850,ACTIVE,ONLINE,HIGH,Vendor,249
OT-01966,PLT-18,SENSOR,SafeLogic,MDL-18,3.6.5,10.18.14.152,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Engineering,182
OT-00247,PLT-03,GATEWAY,NetSwitchCo,MDL-48,5.0.3,10.3.2.201,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,MEDIUM,Maintenance,161
OT-00117,PLT-02,PLC,MotorDriveCo,MDL-65,6.8.9,10.2.8.196,L3_SITE_OPS,OPC_UA,ACTIVE,ONLINE,HIGH,Operations,401
OT-00739,PLT-07,DCS_CONTROLLER,LegacyPLC,MDL-78,6.7.4,10.7.3.110,L2_SUPERVISORY,OPC_UA,ACTIVE,ONLINE,MEDIUM,Vendor,136
OT-01100,PLT-10,ENG_WORKSTATION,LegacyPLC,MDL-82,6.3.3,10.10.1.139,L2_SUPERVISORY,OPC_DA,ACTIVE,OFFLINE,HIGH,OT Security,272
OT-00802,PLT-08,NETWORK_SWITCH,MotorDriveCo,MDL-99,8.3.5,10.8.5.184,L2_SUPERVISORY,EtherNetIP,ACTIVE,ONLINE,CRITICAL,OT Security,10
OT-01095,PLT-10,GATEWAY,MotorDriveCo,MDL-21,8.6.5,10.10.18.231,L1_CONTROL,DNP3,ACTIVE,ONLINE,HIGH,OT Security,8
OT-01120,PLT-11,HMI,RemoteAssist,MDL-69,7.5.1,10.11.1.28,L1_CONTROL,IEC61850,ACTIVE,ONLINE,MEDIUM,Vendor,396
OT-01995,PLT-18,DCS_CONTROLLER,LegacyPLC,MDL-63,4.3.0,10.18.11.102,L2_SUPERVISORY,IEC104,ACTIVE,ONLINE,MEDIUM,Engineering,50
OT-01246,PLT-12,SAFETY_PLC,ControlWorks,MDL-19,7.6.5,10.12.15.31,L0_FIELD,OPC_DA,ACTIVE,ONLINE,CRITICAL,Operations,229
OT-01732,PLT-16,SENSOR,MotorDriveCo,MDL-11,2.8.7,10.16.13.92,L1_CONTROL,IEC104,ACTIVE,ONLINE,HIGH,Unknown,217
OT-00497,PLT-05,SENSOR,HistorianX,MDL-61,4.6.1,10.5.5.129,DMZ,ModbusTCP,ACTIVE,INTERMITTENT,HIGH,Vendor,199
OT-00014,PLT-01,DCS_CONTROLLER,MotorDriveCo,MDL-49,5.4.3,10.1.13.217,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,HIGH,OT Security,142
OT-00878,PLT-08,DCS_CONTROLLER,ProcessSys,MDL-61,3.2.4,10.8.20.192,L3_SITE_OPS,OPC_UA,ACTIVE,UNSEEN,LOW,Vendor,405
OT-01785,PLT-16,PLC,MotorDriveCo,MDL-64,2.1.6,10.16.12.183,L2_SUPERVISORY,EtherNetIP,UNKNOWN,OFFLINE,CRITICAL,Maintenance,412
OT-01192,PLT-11,VFD,NetSwitchCo,MDL-20,8.4.7,10.11.16.62,DMZ,ModbusTCP,ACTIVE,ONLINE,HIGH,Operations,394
OT-00786,PLT-08,IED,SensorTech,MDL-83,8.0.8,10.8.1.182,DMZ,PROFIBUS,ACTIVE,ONLINE,LOW,OT Security,198
OT-01479,PLT-14,OPC_SERVER,SensorTech,MDL-54,4.1.9,10.14.8.180,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,HIGH,Operations,181
OT-01413,PLT-13,IED,LegacyPLC,MDL-56,1.3.1,10.13.9.106,L3_SITE_OPS,VendorSerial,ACTIVE,ONLINE,MEDIUM,Operations,19
